name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kolkata, WB, India",2023-03-22,32.2,21,25.9,33.2,21,26.3,18.9,68.1,2.5,0,16.67,rain,0,0,22,12.2,219.1,1007.8,43.9,12.6,237.1,20.5,9,30,2023-03-22T05:39:12,2023-03-22T17:48:13,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VECC,remote"
"Kolkata, WB, India",2023-03-23,34.4,23.2,28,33.1,23.2,27.6,16,52.1,0,0,0,,0,0,34.2,16.6,212.4,1007,24.8,24.1,232.5,20,10,10,2023-03-23T05:38:15,2023-03-23T17:48:35,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Kolkata, WB, India",2023-03-24,36.4,23.7,28.9,34.6,23.7,28.8,16.8,52.5,0,0,0,,0,0,38.2,22,204.8,1007.8,18.8,24.1,266.6,23.1,10,10,2023-03-24T05:37:17,2023-03-24T17:48:56,0.08,Clear,Clear conditions throughout the day.,clear-day,
"Kolkata, WB, India",2023-03-25,37.9,24.4,29.5,37.2,24.4,30.4,19.7,59.8,0,0,0,,0,0,43.9,27,197.4,1007.5,16.2,24.1,258.8,22.4,10,15,2023-03-25T05:36:20,2023-03-25T17:49:18,0.11,Clear,Clear conditions throughout the day.,clear-day,
"Kolkata, WB, India",2023-03-26,39.2,25.2,30.8,37.8,25.2,31.7,19.4,56.9,0,0,0,,0,0,44.6,24.8,194.6,1005.8,15,24.1,271.3,23.4,10,30,2023-03-26T05:35:22,2023-03-26T17:49:39,0.15,Clear,Clear conditions throughout the day.,clear-day,
"Kolkata, WB, India",2023-03-27,35.7,26.3,30.3,34.2,26.3,30.5,16.9,47.6,0.2,4.8,8.33,rain,0,0,41,24.1,194.3,1006.1,73.1,24.1,190.1,16.5,7,30,2023-03-27T05:34:25,2023-03-27T17:50:00,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Kolkata, WB, India",2023-03-28,36.8,26.7,30.7,37.6,26.7,32.2,19.2,52.2,0,4.8,0,,0,0,43.4,25.2,198.8,1005.7,36.6,24.1,240.6,20.7,8,60,2023-03-28T05:33:28,2023-03-28T17:50:21,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Kolkata, WB, India",2023-03-29,38.3,25.4,30.4,37.3,25.4,31.7,20.1,59.6,0,9.5,0,,0,0,43.9,26.3,190.2,1006.1,17.1,24.1,284.1,24.3,9,60,2023-03-29T05:32:31,2023-03-29T17:50:42,0.25,Clear,Clear conditions throughout the day.,clear-day,
"Kolkata, WB, India",2023-03-30,34.5,26.5,29.6,38.3,26.5,32.8,22.7,68,0.1,9.5,4.17,rain,0,0,48.7,28.1,190.2,1007.2,18,24.1,296.3,25.5,9,75,2023-03-30T05:31:33,2023-03-30T17:51:03,0.28,Clear,Clear conditions throughout the day.,clear-day,
"Kolkata, WB, India",2023-03-31,35.4,25.4,29.7,39.5,25.4,32.2,22.6,67.7,0,14.3,0,,0,0,49,29.2,185.3,1006.2,19.2,24.1,279.9,24,9,100,2023-03-31T05:30:36,2023-03-31T17:51:24,0.31,Clear,Clear conditions throughout the day.,clear-day,
"Kolkata, WB, India",2023-04-01,39.1,24.4,29.1,40.4,24.4,30.1,19.7,60,11.7,28.6,8.33,rain,0,0,37.8,25.2,181.4,1005.3,61.9,21.4,273,23.7,9,75,2023-04-01T05:29:40,2023-04-01T17:51:45,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Kolkata, WB, India",2023-04-02,36.9,24.5,29.2,36.6,24.5,29.7,19,58,2.4,33.3,4.17,rain,0,0,28.4,17.3,96.1,1005.5,28.9,24.1,265.3,23.1,8,30,2023-04-02T05:28:43,2023-04-02T17:52:07,0.37,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
"Kolkata, WB, India",2023-04-03,35.9,24.7,28.4,36.6,24.7,28.8,18.5,57.8,0.5,33.3,8.33,rain,0,0,40.7,30.6,170.5,1007.2,54.9,24.1,229.4,19.8,8,75,2023-04-03T05:27:47,2023-04-03T17:52:28,0.41,Partially cloudy,Partly cloudy throughout the day with strong storms possible.,partly-cloudy-day,
"Kolkata, WB, India",2023-04-04,37,24.6,28.9,36.4,24.6,29.2,17.8,54.1,2.4,23.8,8.33,rain,0,0,32.8,19.1,164.1,1007.1,81.5,24.1,270,23.4,9,30,2023-04-04T05:26:50,2023-04-04T17:52:49,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Kolkata, WB, India",2023-04-05,36.7,25.7,29.8,37.4,25.7,31.2,20.6,60.4,0,9.5,0,,0,0,39.2,23.4,187.9,1006.8,23,24.1,260.8,22.5,9,60,2023-04-05T05:25:54,2023-04-05T17:53:10,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,